"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-01",,"1.81","22.8","26.5","35.8","17.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-02",,"1.19","2.3","36.1","46.3","26.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-03",,"0.98","4.0","40.8","51.7","29.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-04",,"1.29","1.8","48.5","61.4","35.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-05",,"2.19","2.2","54.2","67.1","41.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-06",,"0.16","0.0","65.9","82.3","49.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-07",,"1.06","0.0","74.3","88.6","60.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-08",,"0.03","0.0","73.8","89.6","57.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-09",,"1.73","0.0","63.4","76.3","50.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-10",,"0.58","0.0","57.9","72.1","43.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-11",,"2.00","2.5","41.5","51.6","31.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1950-12",,"0.49","3.8","35.4","39.9","30.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-01",,"1.70","15.7","29.6","37.8","21.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-02",,"0.65","3.4","36.3","46.3","26.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-03",,"1.26","8.9","37.1","48.8","25.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-04",,"2.60","1.7","50.2","62.2","38.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-05",,"0.87","0.0","59.0","71.2","46.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-06",,"0.09","0.0","63.8","77.6","49.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-07",,"2.17","0.0","75.7","91.1","60.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-08",,"1.80","0.0","73.5","86.3","60.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-09",,"0.00","0.0","64.6","79.9","49.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-10",,"1.90","0.0","50.5","61.6","39.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-11",,"1.59","11.5","37.0","46.9","27.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1951-12",,"2.91","26.0","26.1","34.4","17.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-01",,"2.20","25.2","27.0","35.2","18.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-02",,"1.84","19.0","28.6","38.1","19.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-03",,"3.56","35.6","33.3","40.5","26.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-04",,"1.87","0.0","51.8","63.0","40.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-05",,"1.07","0.0","60.6","73.3","47.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-06",,"1.07","0.0","67.8","81.1","54.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-07",,"1.09","0.0","74.6","88.7","60.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-08",,"0.19","0.0","76.3","89.9","62.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-09",,"0.02","0.0","68.1","83.4","52.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-10",,"0.00","0.0","57.4","73.3","41.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-11",,"1.08","5.6","34.3","44.8","23.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1952-12",,"1.16","14.1","32.0","40.0","24.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-01",,"2.73","11.4","39.5","48.1","30.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-02",,"0.39","0.0","36.9","46.5","27.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-03",,"0.86","10.1","43.2","54.5","31.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-04",,"2.77","5.3","46.4","57.4","35.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-05",,"1.06","0.1","52.9","64.6","41.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-06",,"0.51","0.0","66.7","81.4","51.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-07",,"0.81","0.0","78.4","93.2","63.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-08",,"0.88","0.0","75.7","89.7","61.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-09",,"0.13","0.0","68.1","83.8","52.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-10",,"0.32","0.0","54.0","67.1","40.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-11",,"0.96","0.4","46.1","56.3","35.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1953-12",,"0.91","12.7","29.8","38.4","21.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-01",,"0.90","10.6","34.0","42.7","25.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-02",,"0.81","5.6","36.3","44.8","27.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-03",,"1.50","10.7","38.5","48.3","28.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-04",,"0.65","0.0","53.7","66.5","40.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-05",,"0.63","0.0","61.5","76.0","47.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-06",,"1.83","0.0","65.3","79.1","51.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-07",,"0.91","0.0","78.3","93.8","62.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-08",,"1.77","0.0","73.2","88.8","57.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-09",,"0.59","0.0","64.8","80.0","49.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-10",,"0.54","0.0","52.3","66.9","37.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-11",,"1.61","1.6","43.9","56.7","31.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1954-12",,"0.69","4.2","30.2","39.1","21.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-01",,"1.35","22.6","21.1","31.2","11.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-02",,"1.31","16.6","24.0","33.5","14.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-03",,"0.20","0.6","36.7","46.8","26.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-04",,"2.04","21.8","45.7","58.9","32.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-05",,"1.35","2.9","56.8","71.1","42.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-06",,"0.95","0.0","66.2","80.1","52.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-07",,"0.80","0.0","75.5","91.2","59.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-08",,"0.44","0.0","76.3","90.8","61.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-09",,"0.97","0.0","65.0","79.8","50.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-10",,"0.90","0.0","52.8","67.0","38.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-11",,"2.24","15.8","35.6","47.0","24.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1955-12",,"1.09","10.1","37.1","44.3","29.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-01",,"2.39","6.5","35.4","44.7","26.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-02",,"1.10","18.6","26.3","35.5","17.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-03",,"0.10","2.2","42.3","54.9","29.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-04",,"1.50","2.7","49.9","62.7","37.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-05",,"2.33","0.0","60.4","73.6","47.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-06",,"0.63","0.0","69.6","85.6","53.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-07",,"0.08","0.0","76.4","92.7","60.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-08",,"0.04","0.0","72.7","88.8","56.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-09",,"0.14","0.0","67.0","84.5","49.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-10",,"1.87","10.4","52.1","65.9","38.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-11",,"0.56","7.0","34.2","45.9","22.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1956-12",,"1.67","11.8","30.0","40.0","20.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-01",,"1.38","18.4","26.0","35.5","16.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-02",,"0.73","0.3","40.3","50.1","30.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-03",,"2.18","4.2","43.1","54.0","32.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-04",,"3.24","5.1","48.4","59.5","37.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-05",,"3.37","0.0","57.2","69.5","44.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-06",,"1.47","0.0","66.8","81.4","52.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-07",,"0.31","0.0","76.9","92.3","61.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-08",,"1.69","0.0","76.5","90.4","62.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-09",,"0.33","0.0","64.6","80.8","48.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-10",,"0.78","0.0","52.2","64.5","39.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-11",,"1.37","6.3","34.5","43.6","25.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1957-12",,"1.61","11.1","33.4","42.9","23.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-01",,"0.87","7.6","30.7","39.5","22.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-02",,"2.21","9.5","41.6","51.0","32.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-03",,"2.20","15.7","39.1","49.0","29.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-04",,"2.93","15.5","47.2","59.0","35.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-05",,"0.30","0.0","65.1","80.5","49.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-06",,"0.04","0.0","70.5","86.2","54.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-07",,"0.05","0.0","74.9","91.4","58.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-08",,"0.23","0.0","77.7","93.4","62.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-09",,"0.25","0.0","65.3","80.7","50.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-10",,"0.00","0.0","55.3","71.5","39.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-11",,"1.13","10.4","38.8","50.0","27.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1958-12",,"0.55","2.9","36.2","45.8","26.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-01",,"1.60","11.8","33.9","42.7","25.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-02",,"1.42","15.2","36.0","44.6","27.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-03",,"0.79","0.4","41.4","53.0","29.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-04",,"1.61","1.3","51.6","65.0","38.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-05",,"2.05","0.0","55.7","68.2","43.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-06",,"1.38","0.0","71.5","86.9","56.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-07",,"0.19","0.0","77.1","93.1","61.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-08",,"1.76","0.0","74.1","88.9","59.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-09",,"1.67","0.0","62.0","74.2","49.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-10",,"0.22","0.0","51.0","64.7","37.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-11",,"0.10","0.6","37.6","52.6","22.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1959-12",,"1.05","10.6","27.8","39.6","16.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-01",,"0.96","13.5","25.6","33.2","18.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-02",,"1.58","18.2","28.6","36.8","20.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-03",,"2.45","11.4","42.5","53.7","31.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-04",,"1.12","0.7","50.8","64.3","37.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-05",,"0.73","1.0","58.6","73.8","43.4",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-06",,"0.39","0.0","71.0","87.7","54.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-07",,"0.02","0.0","81.2","98.2","64.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-08",,"1.33","0.0","74.2","91.3","57.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-09",,"0.49","0.0","68.2","83.8","52.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-10",,"1.19","0.0","51.5","65.2","37.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-11",,"1.73","5.0","40.4","50.2","30.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1960-12",,"0.39","4.5","29.6","39.4","19.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-01",,"0.09","0.1","28.7","41.9","15.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-02",,"2.06","16.0","38.1","48.1","28.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-03",,"1.85","4.9","42.9","53.6","32.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-04",,"0.95","0.8","50.1","62.9","37.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-05",,"0.24","0.0","60.8","76.7","44.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-06",,"0.09","0.0","74.7","92.2","57.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-07",,"0.54","0.0","79.9","95.6","64.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-08",,"1.20","0.0","77.8","92.1","63.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-09",,"1.11","0.0","59.9","73.6","46.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-10",,"1.60","8.3","49.9","63.0","36.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-11",,"1.15","11.1","35.3","44.7","25.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1961-12",,"0.89","8.5","28.2","36.4","20.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-01",,"0.84","15.6","20.5","29.2","11.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-02",,"1.44","10.1","31.4","38.7","24.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-03",,"2.35","25.4","35.1","45.9","24.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-04",,"2.98","1.6","52.8","66.5","39.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-05",,"2.12","0.0","58.7","71.2","46.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-06",,"0.49","0.0","68.1","84.3","52.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-07",,"2.52","0.0","75.9","91.6","60.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-08",,"0.26","0.0","73.1","90.2","56.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-09",,"0.27","0.0","65.8","83.0","48.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-10",,"0.93","0.0","55.3","69.4","41.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-11",,"0.44","2.4","41.6","53.6","29.6",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1962-12",,"0.28","0.9","28.4","37.5","19.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-01",,"0.53","7.4","19.5","31.3","7.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-02",,"0.67","0.5","38.6","50.1","27.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-03",,"2.12","16.0","39.4","51.1","27.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-04",,"3.86","14.3","44.3","54.9","33.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-05",,"0.24","0.0","60.7","75.5","45.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-06",,"1.67","0.0","63.2","77.5","49.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-07",,"0.00","0.0","77.8","94.5","61.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-08",,"0.54","0.0","77.9","91.5","64.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-09",,"1.08","0.0","67.8","82.6","53.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-10",,"1.05","0.0","57.8","71.4","44.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-11",,"1.56","7.6","38.9","48.9","28.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1963-12",,"0.79","13.0","24.3","32.0","16.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-01",,"0.94","18.1","21.9","31.8","11.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-02",,"0.35","8.0","25.7","35.6","15.9",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-03",,"2.28","33.5","32.0","41.8","22.2",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-04",,"2.69","1.7","45.6","56.8","34.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-05",,"2.77","5.3","55.8","69.2","42.3",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-06",,"2.62","0.0","63.2","76.4","50.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-07",,"0.26","0.0","77.5","94.9","60.1",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-08",,"0.17","0.0","71.9","88.2","55.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-09",,"0.13","0.0","61.5","79.2","43.8",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-10",,"0.45","0.0","52.9","69.8","36.0",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-11",,"1.42","6.7","37.7","47.8","27.7",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1964-12",,"3.82","6.2","33.3","41.1","25.5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1965-01",,"2.13","15.7","31.0","38.5","23.6","4314"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1965-02",,"1.13","9.5","33.0","43.7","22.3","12066"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1965-03",,"0.14","1.1","36.7","49.4","24.1","16938"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","1965-04",,"2.31","2.4","51.0","62.9","39.1","14166"
